Month,Price,Change
1995-01,31.08589065539248,0.0
1995-02,30.906489623354283,-0.0058
1995-03,31.275901425884545,0.012
1995-04,31.20131174948157,-0.0024
1995-05,30.569871557863262,-0.0202
1995-06,30.43387400131818,-0.0045000000000000005
1995-07,30.413940553313935,-0.0007000000000000001
1995-08,30.586911440834633,0.005699999999999999
1995-09,30.965003938463518,0.0124
1995-10,31.194560097738197,0.0074
1995-11,31.454980950696868,0.0084
1995-12,31.63824006944556,0.0058
1996-01,32.834246949700194,0.0378
1996-02,33.149324031057596,0.0096
1996-03,32.396032600832704,-0.0227
1996-04,31.738228816692654,-0.0203
1996-05,31.414149533010754,-0.0102
1996-06,30.92320799909978,-0.015600000000000001
1996-07,30.710048708344722,-0.0069
1996-08,31.04280868712524,0.0108
1996-09,30.79267606539457,-0.008100000000000001
1996-10,30.70683363608597,-0.0028000000000000004
1996-11,30.664394682270483,-0.0014000000000000002
1996-12,29.96190139373382,-0.0229
1997-01,28.44438728760429,-0.0506
1997-02,27.70074107415564,-0.026099999999999998
1997-03,28.011317054350798,0.011200000000000002
1997-04,27.692381886282895,-0.011399999999999999
1997-05,27.71456588486826,0.0008
1997-06,27.56249296702943,-0.0055000000000000005
1997-07,26.846496375006026,-0.026000000000000002
1997-08,28.622502290738982,0.0661
1997-09,31.275258411432795,0.09269999999999999
1997-10,34.317038275435245,0.0973
1997-11,33.31972286077129,-0.0291
1997-12,34.986094812480914,0.05
1998-01,40.882858842252475,0.1685
1998-02,36.57948462391692,-0.10529999999999999
1998-03,35.5921359332551,-0.027000000000000003
1998-04,36.98683427910043,0.0392
1998-05,36.704229427556385,-0.0076
1998-06,37.56201070619062,0.023399999999999997
1998-07,39.12228527336151,0.0415
1998-08,38.347452859003006,-0.019799999999999998
1998-09,35.4281672480589,-0.0761
1998-10,36.1544520713103,0.020499999999999997
1998-11,35.93357660713425,-0.0060999999999999995
1998-12,35.63521790152234,-0.0083
1999-01,35.07322327069301,-0.0158
1999-02,35.103766457151124,0.0009
1999-03,34.93658269969618,-0.0048
1999-04,34.528590030060926,-0.011699999999999999
1999-05,33.77336955648078,-0.0219
1999-06,31.925024514925973,-0.0547
1999-07,31.285868149886667,-0.02
1999-08,31.360457826289643,0.0024
1999-09,32.34394843024097,0.031400000000000004
1999-10,37.96164418795313,0.17370000000000002
1999-11,35.818477020271025,-0.0564
1999-12,34.58356776568554,-0.0345
2000-01,34.73628369797611,0.0044
2000-02,36.63478386676741,0.0547
2000-03,34.988988377513785,-0.0449
2000-04,34.17043098043628,-0.023399999999999997
2000-05,33.620653624190204,-0.0161
2000-06,34.90829006381918,0.0383
2000-07,34.40255919751796,-0.014499999999999999
2000-08,33.53288215152636,-0.0253
2000-09,33.43610847653801,-0.0029
2000-10,32.9866413747649,-0.0134
2000-11,32.49923642033855,-0.0148
2000-12,33.16379185622197,0.020499999999999997
2001-01,32.43557798961532,-0.022000000000000002
2001-02,31.993505554037327,-0.013600000000000001
2001-03,32.13496873342228,0.0044
2001-04,31.823428231549507,-0.0097
2001-05,33.275033356374685,0.045599999999999995
2001-06,33.01461250341601,-0.0078000000000000005
2001-07,32.684746089668366,-0.01
2001-08,33.27856993585931,0.0182
2001-09,34.6263282267269,0.0405
2001-10,34.582281736782036,-0.0013
2001-11,33.739289790538045,-0.024399999999999998
2001-12,33.7013519378848,-0.0011
2002-01,34.39291398074172,0.020499999999999997
2002-02,36.1020463934927,0.049699999999999994
2002-03,35.926181940939124,-0.0049
2002-04,36.979118105679426,0.029300000000000003
2002-05,38.42204253540598,0.039
2002-06,39.23931390357998,0.0213
2002-07,38.27543524040703,-0.0246
2002-08,37.905380423425015,-0.0097
2002-09,38.990145803526936,0.0286
2002-10,38.675068722169534,-0.008100000000000001
2002-11,38.98178661565419,0.0079
2002-12,40.55170639960133,0.0403
2003-01,43.598630379217774,0.0751
2003-02,43.85647917436944,0.0059
2003-03,41.60592859324513,-0.0513
2003-04,40.09452312440722,-0.0363
2003-05,43.45427363479994,0.08380000000000001
2003-06,43.536257977398044,0.0019
2003-07,42.88520584500137,-0.015
2003-08,43.95421737103542,0.024900000000000002
2003-09,46.2973620332117,0.0533
2003-10,46.293825453727074,-0.0001
2003-11,47.63643962898066,0.028999999999999998
2003-12,49.71819891652065,0.0437
2004-01,50.55379619656952,0.0168
2004-02,49.4651727297571,-0.0215
2004-03,49.68411915057791,0.0044
2004-04,49.26744578584404,-0.0084
2004-05,46.88732779269214,-0.0483
2004-06,47.937048885173695,0.022400000000000003
2004-07,48.63568408699985,0.0146
2004-08,48.93147073480477,0.0060999999999999995
2004-09,49.514041828090086,0.011899999999999999
2004-10,51.368817014162396,0.0375
2004-11,53.68013246097706,0.045
2004-12,54.00999887472471,0.0060999999999999995
2005-01,51.804780812448755,-0.0408
2005-02,51.72183194817303,-0.0016
2005-03,53.00464577941389,0.0248
2005-04,52.440079090777566,-0.0106
2005-05,51.54114488723134,-0.0171
2005-06,52.61497902165351,0.0208
2005-07,51.71925989036604,-0.017
2005-08,52.92909158133329,0.023399999999999997
2005-09,55.255839374989954,0.044000000000000004
2005-10,57.00355265484592,0.0316
2005-11,57.91727619078239,0.016
2005-12,61.966338193450895,0.0699
2006-01,66.31440191618307,0.0702
2006-02,66.47258347131353,0.0024
2006-03,66.35716237722443,-0.0017000000000000001
2006-04,71.91216422589098,0.0837
2006-05,78.50595592135933,0.0917
2006-06,70.24225569469674,-0.10529999999999999
2006-07,74.75203755204399,0.0642
2006-08,74.74207082804185,-0.0001
2006-09,70.63642355361937,-0.054900000000000004
2006-10,69.28545019049302,-0.0191
2006-11,73.5515295706271,0.0616
2006-12,71.97100004822609,-0.0215
2007-01,71.18266433038083,-0.011000000000000001
2007-02,74.72374491616699,0.049699999999999994
2007-03,73.53577571655923,-0.0159
2007-04,75.11405468837911,0.0215
2007-05,72.98760589644252,-0.028300000000000002
2007-06,72.62205218062276,-0.005
2007-07,73.63319240599932,0.0139
2007-08,74.55109553587218,0.0125
2007-09,79.56821579565,0.0673
2007-10,81.96537367177326,0.0301
2007-11,87.03136302988409,0.061799999999999994
2007-12,86.10027810375038,-0.010700000000000001
2008-01,93.46536563409262,0.0855
2008-02,95.54841095053611,0.0223
2008-03,99.22163100615685,0.0384
2008-04,92.4857331168518,-0.0679
2008-05,91.94174289067146,-0.0059
2008-06,93.16121979841496,0.013300000000000001
2008-07,98.19473692671242,0.054000000000000006
2008-08,89.75613676917389,-0.0859
2008-09,91.83210892664813,0.0231
2008-10,91.45273040011574,-0.0040999999999999995
2008-11,87.74639510022988,-0.0405
2008-12,93.28435706592505,0.06309999999999999
2009-01,98.4525857218641,0.0554
2009-02,110.31427331329272,0.12050000000000001
2009-03,109.14527304001157,-0.0106
2009-04,103.32084813606185,-0.053399999999999996
2009-05,105.16758564148729,0.0179
2009-06,106.96738309193499,0.0171
2009-07,106.525310656357,-0.0040999999999999995
2009-08,107.37151767485975,0.0079
2009-09,112.0449467101773,0.0435
2009-10,114.15532014082017,0.018799999999999997
2009-11,122.81704631311588,0.0759
2009-12,124.46509235295063,0.0134
2010-01,121.31367852492485,-0.0253
2010-02,120.29450061890141,-0.0084
2010-03,119.03644284405291,-0.0105
2010-04,118.41046827527448,-0.0053
2010-05,126.2025174015786,0.0658
2010-06,129.40280032793737,0.0254
2010-07,123.07875319497805,-0.0489
2010-08,123.23275515617213,0.0013
2010-09,126.91144083463276,0.029900000000000003
2010-10,133.77497709261016,0.0541
2010-11,136.9460028614143,0.023700000000000002
2010-12,139.9064413972704,0.0216
2011-01,133.89264873728035,-0.043
2011-02,134.56781391161766,0.005
2011-03,138.96153166042404,0.0326
2011-04,143.44109183853908,0.0322
2011-05,146.50987830951502,0.021400000000000002
2011-06,148.9732666741685,0.0168
2011-07,151.42733132927162,0.0165
2011-08,168.8282669152989,0.1149
2011-09,176.13580465220954,0.0433
2011-10,168.24473130033599,-0.044800000000000006
2011-11,176.08564952497306,0.0466
2011-12,166.76258298905267,-0.0529
2012-01,165.47944765058594,-0.0077
2012-02,169.68990628064364,0.0254
2012-03,164.03813075698875,-0.0333
2012-04,162.3534328934043,-0.0103
2012-05,158.16033565354383,-0.0258
2012-06,163.40315398588584,0.0331
2012-07,162.43959682993875,-0.0059
2012-08,163.3883646534956,0.0058
2012-09,172.81624254505118,0.057699999999999994
2012-10,171.6990049351359,-0.006500000000000001
2012-11,169.32628160817916,-0.0138
2012-12,165.4952015046538,-0.0226
2013-01,163.39704534859422,-0.0127
2013-02,162.11262398122398,-0.0079
2013-03,159.23513430964363,-0.0177
2013-04,145.8848682624142,-0.08380000000000001
2013-05,137.15819763049174,-0.059800000000000006
2013-06,135.99884257398685,-0.0085
2013-07,131.8861221405951,-0.0302
2013-08,142.61867635475105,0.0814
2013-09,140.82948864275724,-0.0125
2013-10,134.5520600575498,-0.0446
2013-11,131.15019210056747,-0.0253
2013-12,127.64640635298278,-0.026699999999999998
2014-01,132.14172038516566,0.0352
2014-02,138.32976996157987,0.046799999999999994
2014-03,141.0747986560998,0.019799999999999998
2014-04,136.0033436751491,-0.0359
2014-05,133.81484398861863,-0.0161
2014-06,132.37063352998857,-0.0108
2014-07,134.194222515151,0.0138
2014-08,132.34844953140322,-0.0138
2014-09,127.94090697188419,-0.0333
2014-10,128.49743597987364,0.0044
2014-11,126.3076502644397,-0.017
2014-12,134.33086308614784,0.0635
2015-01,144.2937290015593,0.0742
2015-02,141.8023695082547,-0.0173
2015-03,139.48237336634142,-0.016399999999999998
2015-04,140.1408201649332,0.004699999999999999
2015-05,138.85961386982174,-0.0091
2015-06,142.03321169643286,0.0229
2015-07,137.91663317633063,-0.028999999999999998
2015-08,145.92827173790732,0.0581
2015-09,155.57831112254246,0.0661
2015-10,159.249602134808,0.0236
2015-11,150.8280418602408,-0.0529
2015-12,148.06436574662015,-0.0183
2016-01,153.36151880013503,0.0358
2016-02,161.52233671451765,0.053200000000000004
2016-03,163.48481682125805,0.012199999999999999
2016-04,155.94257880945872,-0.0461
2016-05,163.99311974536627,0.0516
2016-06,167.85442152812382,0.0235
2016-07,172.84389216647645,0.0297
2016-08,173.5090906168116,0.0038
2016-09,175.2346198980822,0.009899999999999999
2016-10,170.12201199221954,-0.0292
2016-11,172.07356085328018,0.0115
2016-12,166.0102560805054,-0.0352
2017-01,171.02641181860562,0.0302
2017-02,176.38625878116608,0.0313
2017-03,175.76639284967928,-0.0034999999999999996
2017-04,179.511630523896,0.0213
2017-05,172.90562155384444,-0.0368
2017-06,173.23709550372143,0.0019
2017-07,170.59655665761088,-0.0152
2017-08,176.7318790489816,0.036000000000000004
2017-09,177.8172874435353,0.0060999999999999995
2017-10,173.95277058851897,-0.0217
2017-11,172.20055620750077,-0.0101
2017-12,165.78166444290835,-0.0373
2018-01,169.40280032793737,0.0218
2018-02,167.4451428295851,-0.0116
2018-03,166.1845129969296,-0.0075
2018-04,166.77094217692542,0.0034999999999999996
2018-05,166.093526452007,-0.0040999999999999995
2018-06,164.8074975485074,-0.0077
2018-07,161.14006462295242,-0.0223
2018-08,158.0851029626891,-0.019
2018-09,159.53349301525552,0.0092
2018-10,162.5042197823396,0.018600000000000002
2018-11,164.27443856800681,0.0109
2018-12,167.8534570064462,0.0218
2019-01,170.94346295432987,0.0184
2019-02,172.9200893790088,0.0116
2019-03,170.60555885993537,-0.0134
2019-04,170.08664619737328,-0.003
2019-05,172.10474705419006,0.011899999999999999
2019-06,181.84159338981144,0.056600000000000004
2019-07,187.30110759239315,0.03
2019-08,202.03063963862587,0.0786
2019-09,203.27262205218062,0.0060999999999999995
2019-10,201.31014194544022,-0.0097
2019-11,196.59684601411416,-0.023399999999999997
2019-12,197.43887343868053,0.0043
2020-01,204.75927146462615,0.0371
2020-02,213.84924526178725,0.0444
2020-03,219.8951886443648,0.028300000000000002
2020-04,235.69019563714693,0.0718
2020-05,239.66145289115374,0.0169
2020-06,238.10889449740384,-0.006500000000000001
2020-07,253.1239249602135,0.06309999999999999
2020-08,265.23863873840565,0.0479
2020-09,256.49332068738244,-0.033
2020-10,253.75375761570243,-0.010700000000000001
2020-11,247.06930088253733,-0.0263
2020-12,242.76013953413602,-0.0174
2021-01,242.3199961419133,-0.0018
2021-02,235.2101853489157,-0.029300000000000003
2021-03,227.0159306830421,-0.0348
2021-04,233.37116401691128,0.027999999999999997
2021-05,245.46144324593695,0.0518
2021-06,243.88123523076183,-0.0064
2021-07,244.03813075698875,0.0006
2021-08,242.27820020254956,-0.0072
2021-09,237.99636696834762,-0.0177
2021-10,237.77774205475268,-0.0009
2021-11,244.49917211889337,0.028300000000000002
2021-12,242.88777790280835,-0.0066
2022-01,244.58533605542783,0.006999999999999999
2022-02,249.93360875785683,0.0219
2022-03,263.08100374555914,0.0526
2022-04,265.6887488546305,0.009899999999999999
2022-05,260.61665085922806,-0.0191
2022-06,259.9029048177858,-0.0027
2022-07,247.44867940906974,-0.0479
2022-08,253.3566961917469,0.0239
2022-09,245.7350458951565,-0.0301
2022-10,251.15565772340733,0.022099999999999998
2022-11,257.2035301493401,0.0241
2022-12,255.01406594113203,-0.0085
2023-01,264.18184448695484,0.036000000000000004
2023-02,260.8770717121867,-0.0125
2023-03,274.79833459257,0.053399999999999996
2023-04,284.3528863311203,0.0348
2023-05,290.159306830421,0.0204
2023-06,289.58220135997556,-0.002
